as_of_date,ticker,retrieved_at,market_cap
2026-01-28,PNR,2026-07-27T14:04:23-04:00,17240649893.352905
2026-01-28,PNW,2026-07-27T14:04:23-04:00,11212596614.846613
2026-01-28,PODD,2026-07-27T14:04:23-04:00,18175353396.283875
2026-01-28,POOL,2026-07-27T14:04:23-04:00,9645959117.82788
2026-01-28,POR,2026-07-27T14:04:23-04:00,5616573407.688904
2026-01-28,POST,2026-07-27T14:04:23-04:00,5100217744.169144
2026-01-28,POWI,2026-07-27T14:04:23-04:00,2623590442.58852
2026-01-28,POWL,2026-07-27T14:04:23-04:00,1794525332.1363068
2026-01-28,PPC,2026-07-27T14:04:23-04:00,10228793437.101776
2026-01-28,PPG,2026-07-27T14:04:23-04:00,25720771793.36548
2026-01-28,PPL,2026-07-27T14:04:23-04:00,27148428360.276203
2026-01-28,PR,2026-07-27T14:04:23-04:00,11576112855.44342
2026-01-28,PRAA,2026-07-27T14:04:23-04:00,506395114.61054325
2026-01-28,PRCT,2026-07-27T14:04:23-04:00,1677475267.359188
2026-01-28,PRDO,2026-07-27T14:04:23-04:00,2064868009.666596
2026-01-28,PRG,2026-07-27T14:04:23-04:00,1284836382.9459648
2026-01-28,PRGO,2026-07-27T14:04:23-04:00,1919854899.300304
2026-01-28,PRGS,2026-07-27T14:04:23-04:00,1776802591.382824
2026-01-28,PRI,2026-07-27T14:04:23-04:00,8403607772.040405
2026-01-28,PRIM,2026-07-27T14:04:23-04:00,8057844768.459839
2026-01-28,PRK,2026-07-27T14:04:23-04:00,2553228054.6669617
2026-01-28,PRKS,2026-07-27T14:04:23-04:00,2058470763.9339104
2026-01-28,PRLB,2026-07-27T14:04:23-04:00,1238144964.4519958
2026-01-28,PRM,2026-07-27T14:04:23-04:00,3917019931.9658966
2026-01-28,PRMB,2026-07-27T14:04:23-04:00,6935453201.636604
2026-01-28,PRSU,2026-07-27T14:04:23-04:00,978600891.243164
2026-01-28,PRTA,2026-07-27T14:04:23-04:00,492006053.96105766
2026-01-28,PRU,2026-07-27T14:04:23-04:00,37900736283.2157
2026-01-28,PRVA,2026-07-27T14:04:23-04:00,2800744871.635632
2026-01-28,PSA,2026-07-27T14:04:23-04:00,48052298443.781006
2026-01-28,PSKY,2026-07-27T14:04:23-04:00,12509914674.089935
2026-01-28,PSMT,2026-07-27T14:04:23-04:00,4375923120.0
2026-01-28,PSN,2026-07-27T14:04:23-04:00,7658185810.077324
2026-01-28,PSX,2026-07-27T14:04:23-04:00,57417976311.17363
2026-01-28,PTC,2026-07-27T14:04:23-04:00,19339868375.9426
2026-01-28,PTCT,2026-07-27T14:04:23-04:00,6069795735.489769
2026-01-28,PTEN,2026-07-27T14:04:27-04:00,2823277760.274052
2026-01-28,PTGX,2026-07-27T14:04:27-04:00,5111280985.707871
2026-01-28,PTN,2026-07-27T14:04:27-04:00,28860342.549037933
2026-01-28,PTON,2026-07-27T14:04:27-04:00,2439989860.2322083
2026-01-28,PUMP,2026-07-27T14:04:27-04:00,1108450033.5935783
2026-01-28,PVH,2026-07-27T14:04:27-04:00,2946374291.0625114
2026-01-28,PVLA,2026-07-27T14:04:27-04:00,931650117.0633698
2026-01-28,PWP,2026-07-27T14:04:27-04:00,2031110653.30204
2026-01-28,PWR,2026-07-27T14:04:27-04:00,71766493913.33377
2026-01-28,PYPL,2026-07-27T14:04:27-04:00,51666865891.75011
2026-01-28,PZZA,2026-07-27T14:04:27-04:00,1170910015.340393
2026-01-28,QBTS,2026-07-27T14:04:27-04:00,9303204286.012863
2026-01-28,QCOM,2026-07-27T14:04:27-04:00,163541696731.56738
2026-01-28,QCRH,2026-07-27T14:04:27-04:00,1506891020.9987564
2026-01-28,QDEL,2026-07-27T14:04:27-04:00,1819886018.7931824
2026-01-28,QGEN,2026-07-27T14:04:27-04:00,11121883710.2524
2026-01-28,QLYS,2026-07-27T14:04:27-04:00,4789562272.634705
2026-01-28,QNST,2026-07-27T14:04:27-04:00,793954521.2605953
2026-01-28,QS,2026-07-27T14:04:27-04:00,5971010399.995308
2026-01-28,QTWO,2026-07-27T14:04:27-04:00,4070077796.4582825
2026-01-28,QURE,2026-07-27T14:04:27-04:00,1433954110.7748604
2026-01-28,R,2026-07-27T14:04:27-04:00,7775919139.853027
2026-01-28,RAMP,2026-07-27T14:04:27-04:00,1628982523.9347038
2026-01-28,RARE,2026-07-27T14:04:27-04:00,2357911837.8845806
2026-01-28,RBC,2026-07-27T14:04:27-04:00,16088643791.78186
2026-01-28,RBCAA,2026-07-27T14:04:27-04:00,1372695447.156319
2026-01-28,RBLX,2026-07-27T14:04:27-04:00,52833930630.84268
2026-01-28,RCL,2026-07-27T14:04:27-04:00,79523104299.70789
2026-01-28,RCUS,2026-07-27T14:04:27-04:00,2684909347.2973824
2026-01-28,RDN,2026-07-27T14:04:27-04:00,4463009417.394093
2026-01-28,RDNT,2026-07-27T14:04:27-04:00,5538061223.296814
2026-01-28,RDWR,2026-07-27T14:04:27-04:00,1088465088.523548
2026-01-28,REG,2026-07-27T14:04:27-04:00,12962632965.133774
2026-01-28,REGN,2026-07-27T14:04:27-04:00,79610348578.10681
2026-01-28,RELY,2026-07-27T14:04:27-04:00,2845115049.139776
2026-01-28,REPL,2026-07-27T14:04:27-04:00,577342948.713315
2026-01-28,RES,2026-07-27T14:04:27-04:00,1400917198.7103343
2026-01-28,REX,2026-07-27T14:04:27-04:00,1110734435.9581451
2026-01-28,REXR,2026-07-27T14:04:27-04:00,9523799537.377487
2026-01-28,REYN,2026-07-27T14:04:27-04:00,4745036069.751865
2026-01-28,REZI,2026-07-27T14:04:27-04:00,4991496255.804688
2026-01-28,RF,2026-07-27T14:04:27-04:00,24429779741.62294
2026-01-28,RGA,2026-07-27T14:04:27-04:00,13003284934.803818
2026-01-28,RGEN,2026-07-27T14:04:27-04:00,9009334549.235731
2026-01-28,RGLD,2026-07-27T14:04:27-04:00,25421539835.055145
2026-01-28,RGNX,2026-07-27T14:04:27-04:00,557360188.4467049
2026-01-28,RGP,2026-07-27T14:04:27-04:00,142049125.29196548
2026-01-28,RGR,2026-07-27T14:04:27-04:00,606399410.5183907
2026-01-28,RGTI,2026-07-27T14:04:27-04:00,7263874052.316975
2026-01-28,RH,2026-07-27T14:04:27-04:00,3840978387.7549896
2026-01-28,RHI,2026-07-27T14:04:30-04:00,2741856991.5704384
2026-01-28,RHP,2026-07-27T14:04:30-04:00,5889621049.020493
2026-01-28,RIG,2026-07-27T14:04:30-04:00,5364018542.300057
2026-01-28,RIGL,2026-07-27T14:04:30-04:00,639834876.0
2026-01-28,RILY,2026-07-27T14:04:30-04:00,287918386.39125824
2026-01-28,RIOT,2026-07-27T14:04:30-04:00,6525215830.633629
2026-01-28,RITM,2026-07-27T14:04:30-04:00,6594940161.590748
2026-01-28,RIVN,2026-07-27T14:04:30-04:00,18633879114.17563
2026-01-28,RJF,2026-07-27T14:04:30-04:00,33236158218.585754
2026-01-28,RKLB,2026-07-27T14:04:30-04:00,47310226250.79842
2026-01-28,RKT,2026-07-27T14:04:30-04:00,58457877293.62608
2026-01-28,RL,2026-07-27T14:04:30-04:00,21405545275.226074
2026-01-28,RLI,2026-07-27T14:04:30-04:00,5235265377.941132
2026-01-28,RLJ,2026-07-27T14:04:30-04:00,1103999725.533559
2026-01-28,RMBS,2026-07-27T14:04:30-04:00,13395982813.337708
2026-01-28,RMD,2026-07-27T14:04:30-04:00,37618433467.86151
2026-01-28,RNG,2026-07-27T14:04:30-04:00,2336381665.026909
2026-01-28,RNR,2026-07-27T14:04:30-04:00,12962035048.330627
2026-01-28,RNST,2026-07-27T14:04:30-04:00,3644069854.7088776
2026-01-28,ROAD,2026-07-27T14:04:30-04:00,6407293084.197212
2026-01-28,ROCK,2026-07-27T14:04:30-04:00,1508743739.324295
2026-01-28,ROG,2026-07-27T14:04:30-04:00,1740769112.9176023
2026-01-28,ROIV,2026-07-27T14:04:30-04:00,15238221178.526402
2026-01-28,ROK,2026-07-27T14:04:30-04:00,46648527770.2623
2026-01-28,ROKU,2026-07-27T14:04:30-04:00,14899288046.556854
2026-01-28,ROL,2026-07-27T14:04:30-04:00,30230690251.66298
2026-01-28,ROOT,2026-07-27T14:04:30-04:00,1020334558.388878
2026-01-28,ROP,2026-07-27T14:04:30-04:00,38789300483.89661
2026-01-28,ROST,2026-07-27T14:04:30-04:00,60505092343.114044
2026-01-28,RPD,2026-07-27T14:04:30-04:00,820474105.7947464
2026-01-28,RPM,2026-07-27T14:04:30-04:00,13700169715.803764
2026-01-28,RPRX,2026-07-27T14:04:30-04:00,23566073333.604664
2026-01-28,RRC,2026-07-27T14:04:30-04:00,8751140972.915833
2026-01-28,RRR,2026-07-27T14:04:30-04:00,6302839283.508305
2026-01-28,RRX,2026-07-27T14:04:30-04:00,10405917710.709366
2026-01-28,RS,2026-07-27T14:04:30-04:00,17138131477.426758
2026-01-28,RSG,2026-07-27T14:04:30-04:00,67938164337.614136
2026-01-28,RSI,2026-07-27T14:04:30-04:00,3843836431.0
2026-01-28,RTX,2026-07-27T14:04:30-04:00,267430380553.08475
2026-01-28,RUM,2026-07-27T14:04:30-04:00,2020864937.094544
2026-01-28,RUN,2026-07-27T14:04:30-04:00,4968015459.253227
2026-01-28,RUSHA,2026-07-27T14:04:30-04:00,4913178050.340515
2026-01-28,RUSHB,2026-07-27T14:04:30-04:00,4463784441.33831
2026-01-28,RVLV,2026-07-27T14:04:30-04:00,2036592326.2762983
2026-01-28,RVMD,2026-07-27T14:04:30-04:00,18815816974.62913
2026-01-28,RVTY,2026-07-27T14:04:30-04:00,12899145496.597136
2026-01-28,RWT,2026-07-27T14:04:30-04:00,757249522.153194
2026-01-28,RXO,2026-07-27T14:04:30-04:00,2396033393.803711
2026-01-28,RXRX,2026-07-27T14:04:30-04:00,2330044414.424721
2026-01-28,RYAM,2026-07-27T14:04:30-04:00,571557690.3975763
2026-01-28,RYAN,2026-07-27T14:04:33-04:00,12574056369.44934
2026-01-28,RYN,2026-07-27T14:04:33-04:00,3666548890.8053513
2026-01-28,RYTM,2026-07-27T14:04:33-04:00,6851790747.322632
2026-01-28,S,2026-07-27T14:04:33-04:00,5074244184.139786
2026-01-28,SABR,2026-07-27T14:04:33-04:00,477810724.7036629
2026-01-28,SAFE,2026-07-27T14:04:33-04:00,980909118.594574
2026-01-28,SAFT,2026-07-27T14:04:33-04:00,1131510416.9613647
2026-01-28,SAH,2026-07-27T14:04:33-04:00,2108454628.8716888
2026-01-28,SAIA,2026-07-27T14:04:33-04:00,9321460676.57898
2026-01-28,SAIC,2026-07-27T14:04:33-04:00,4765578343.998001
2026-01-28,SAM,2026-07-27T14:04:33-04:00,2322978790.944672
2026-01-28,SANM,2026-07-27T14:04:33-04:00,8336327448.532562
2026-01-28,SB,2026-07-27T14:04:33-04:00,557689733.2324076
2026-01-28,SBAC,2026-07-27T14:04:33-04:00,19624642470.24536
