Date,Port,ticker,shares,price
1/27/2026,US_live_port,BRX,3925,26.34
1/27/2026,US_live_port,BRZE,-5594,24.37
1/27/2026,US_live_port,BSX,3240,93.61
1/27/2026,US_live_port,BSY,-6108,37.16
1/27/2026,US_live_port,BTU,807,36.09
1/27/2026,US_live_port,BURL,-338,289.9
1/27/2026,US_live_port,BUSE,13622,25.05
1/27/2026,US_live_port,BV,2306,13.18
1/27/2026,US_live_port,BW,1198,10.56
1/27/2026,US_live_port,BWA,4627,48.43
1/27/2026,US_live_port,BWIN,-130,24.04
1/27/2026,US_live_port,BWXT,-489,212.4
1/27/2026,US_live_port,BX,-3490,148.41
1/27/2026,US_live_port,BXC,-418,69.34
1/27/2026,US_live_port,BXMT,3426,19.34
1/27/2026,US_live_port,BXP,-1498,65.22
1/27/2026,US_live_port,BY,-2494,31.88
1/27/2026,US_live_port,BYD,2860,82.23
1/27/2026,US_live_port,BZH,-2002,23.3
1/27/2026,US_live_port,C,2346,114.79
1/27/2026,US_live_port,CAAP,2134,29.07
1/27/2026,US_live_port,CABO,3405,75.3
1/27/2026,US_live_port,CAC,-1838,47.38
1/27/2026,US_live_port,CACC,-8,437.72
1/27/2026,US_live_port,CACI,68,643.21
1/27/2026,US_live_port,CAG,-8051,17.95
1/27/2026,US_live_port,CAH,3477,214.04
1/27/2026,US_live_port,CAKE,-2076,57.08
1/27/2026,US_live_port,CAL,2973,12.68
1/27/2026,US_live_port,CALM,-3726,83.49
1/27/2026,US_live_port,CALX,5568,55.98
1/27/2026,US_live_port,CALY,14519,15
1/27/2026,US_live_port,CAMT,-1001,147.78
1/27/2026,US_live_port,CAR,-213,117.52
1/27/2026,US_live_port,CARG,-9386,33.93
1/27/2026,US_live_port,CARR,-2977,57.07
1/27/2026,US_live_port,CARS,29028,11.66
1/27/2026,US_live_port,CASH,-4398,86.3
1/27/2026,US_live_port,CASS,-46,44.48
1/27/2026,US_live_port,CASY,-514,617.04
1/27/2026,US_live_port,CAT,-727,638.91
1/27/2026,US_live_port,CATY,880,50.47
1/27/2026,US_live_port,CB,1171,301.47
1/27/2026,US_live_port,CBOE,-1401,268.04
1/27/2026,US_live_port,CBRE,2293,169.39
1/27/2026,US_live_port,CBRL,-534,30.21
1/27/2026,US_live_port,CBSH,-2356,52.09
1/27/2026,US_live_port,CBT,470,71.56
1/27/2026,US_live_port,CBU,-1408,61.46
1/27/2026,US_live_port,CBZ,9244,39.72
1/27/2026,US_live_port,CC,-10334,15.63
1/27/2026,US_live_port,CCBG,1643,42.36
1/27/2026,US_live_port,CCC,-16378,7.79
1/27/2026,US_live_port,CCEP,4699,90.77
1/27/2026,US_live_port,CCI,-894,86.75
1/27/2026,US_live_port,CCK,-5285,103.79
1/27/2026,US_live_port,CCL,407,28.69
1/27/2026,US_live_port,CCNE,-5823,27.06
1/27/2026,US_live_port,CCOI,4664,23.87
1/27/2026,US_live_port,CCRN,-167,9.22
1/27/2026,US_live_port,CCS,70,63.45
1/27/2026,US_live_port,CDE,8837,25.71
1/27/2026,US_live_port,CDNA,2890,20.58
1/27/2026,US_live_port,CDNS,-1155,318.37
1/27/2026,US_live_port,CDP,-6573,30.34
1/27/2026,US_live_port,CDRE,-470,41.88
1/27/2026,US_live_port,CDW,-2163,125.4
1/27/2026,US_live_port,CDZI,12529,6.45
1/27/2026,US_live_port,CE,-299,46.86
1/27/2026,US_live_port,CECO,-2188,71.02
1/27/2026,US_live_port,CEG,-534,288.76
1/27/2026,US_live_port,CELC,-434,117.25
1/27/2026,US_live_port,CELH,-2740,55.51
1/27/2026,US_live_port,CENTA,196,29.16
1/27/2026,US_live_port,CENX,-2625,47.82
1/27/2026,US_live_port,CERT,-3714,9.68
1/27/2026,US_live_port,CEVA,8061,22.47
