ticker,shares,price,position_market_value,average_daily_volume,average_daily_dollar_volume,position_shares_pct_adv,position_value_pct_dollar_adv
ASIX,-9807,16.3700008392334,-160540.59823036194,343165.0,5967717.801322937,0.028578089257354333,0.026901506333756757
ASMB,-2985,26.420000076293945,-78863.70022773743,110910.0,3317465.9064769745,0.026913713822017852,0.02377227150210196
ASO,-489,55.130001068115234,-26958.57052230835,1517925.0,84457022.84482956,0.0003221503038687682,0.00031919868371205255
ASTE,801,47.650001525878906,38167.651222229004,180480.0,8518116.562366486,0.004438164893617021,0.004480761790799602
ASTH,3424,22.0,75328.0,533995.0,13722524.850635529,0.006412045056601654,0.005489368816592914
ASTS,-717,121.2300033569336,-86921.91240692139,17681615.0,1764981550.4245758,4.055059450169003e-05,4.9248057230973236e-05
ASUR,267,9.8100004196167,2619.2701120376587,73925.0,702960.7495880127,0.003611768684477511,0.003726054567872738
ATEC,9509,15.260000228881836,145107.34217643738,3786430.0,67668899.77716446,0.0025113365359982886,0.002144372712638743
ATEN,-1239,18.440000534057617,-22847.160661697388,534470.0,9386712.933578491,0.0023181843695623703,0.002433989493805408
ATEX,2874,27.90999984741211,80213.3395614624,292640.0,7193896.490526199,0.009820940404592674,0.011150193732575541
ATGE,90,,,,,,
ATI,1162,121.72000122070312,141438.64141845703,1317105.0,160662052.43255615,0.0008822379385090786,0.0008803487773058989
ATKR,583,68.36000061035156,39853.88035583496,372505.0,25673424.471740723,0.0015650796633602233,0.0015523398680103218
ATO,1853,166.0,307598.0,1327175.0,222520058.99032593,0.0013961986927119633,0.001382338299727724
ATR,-1112,123.69999694824219,-137554.3966064453,399830.0,49490329.97585297,0.0027811820023509993,0.0027794196699347136
ATRC,1256,37.77000045776367,47439.12057495117,518290.0,20454267.244148254,0.002423353720889849,0.0023192774401890634
ATRO,-927,61.12529754638672,-56663.15082550049,1154376.35,62666814.97584152,0.000803031004576627,0.0009041970753953988
AUB,-3958,38.900001525878906,-153966.2060394287,1159745.0,44028841.44399643,0.0034128191973235495,0.0034969397556206382
AUR,-6464,4.5,-29088.0,17297870.0,76955575.80937982,0.00037368762743621034,0.00037798430710272947
AVA,-286,40.36000061035156,-11542.960174560547,572835.0,22689196.891231537,0.0004992711688357031,0.0005087425628106492
AVAV,-494,306.94000244140625,-151628.3612060547,1785350.0,590596892.5183868,0.0002766964460749993,0.0002567374856299876
AVB,1946,172.97000122070312,336599.6223754883,1121630.0,201048777.91267395,0.0017349749917530736,0.0016742186939414832
AVGO,1228,333.239990234375,409218.7080078125,24900510.0,8433206752.141113,4.9316258984253734e-05,4.85246858087424e-05
AVNS,-270,12.850000381469727,-3469.500102996826,574235.0,7014355.540738106,0.00047019077555356256,0.0004946284919329507
AVNT,-220,36.15999984741211,-7955.199966430664,827025.0,28828229.020118713,0.0002660137238898461,0.0002759517402501163
AVPT,5338,12.399999618530273,66191.1979637146,1915515.0,25257342.690005302,0.0027867179322532062,0.002620671492488694
AVT,-3631,59.959999084472656,-217714.75667572021,1115680.0,58311697.132320404,0.0032545174243510683,0.0037336378013777195
AVTR,-11302,11.050000190734863,-124887.10215568542,11291915.0,134986492.45491505,0.001000893116889385,0.0009251822155272107
AVXL,54504,4.869999885559082,265434.4737625122,1631120.0,7217646.707172394,0.03341507675707489,0.03677576425273655
AVY,709,184.8699951171875,131072.82653808594,604275.0,111940607.92503357,0.0011733068553224939,0.0011709140138479969
AWI,-819,183.61000061035156,-150376.59049987793,521710.0,100061182.1458435,0.0015698376492687509,0.0015028464313033753
AWK,1116,127.05000305175781,141787.80340576172,1443240.0,187889883.96633148,0.0007732601646295834,0.0007546324496701966
AWR,-1645,72.2300033569336,-118818.35552215576,221350.0,16316353.614730835,0.007431669302010391,0.007282163547551667
AX,-2814,91.86000061035156,-258494.0417175293,335600.0,30766032.198638916,0.008384982121573301,0.008401929766197315
AXGN,43,34.11000061035156,1466.7300262451172,1013750.0,33026209.19834137,4.2416769420468556e-05,4.441109233689402e-05
AXL,-2730,,,,,,
AXON,343,549.8599853515625,188601.97497558594,644260.0,391634724.5932007,0.000532393754074442,0.00048157623196331943
AXP,950,356.989990234375,339140.49072265625,2795830.0,1021647331.516571,0.00033979176130165284,0.0003319545603072477
AXS,115,103.77999877929688,11934.69985961914,670660.0,69034090.6129837,0.0001714728774639907,0.0001728812497368438
AXSM,981,185.1699981689453,181651.76820373535,883560.0,157366813.48098755,0.0011102811354067636,0.0011543206867163376
AXTI,4513,16.829999923706055,75953.78965568542,8134255.0,168039584.31005478,0.0005548141778196036,0.0004519993903075888
AYI,194,312.1600036621094,60559.04071044922,484420.0,159516454.6107483,0.0004004789232484208,0.0003796413408148097
AZO,102,3782.139892578125,385778.26904296875,186325.0,652656698.1567383,0.0005474305648732054,0.0005910891133615892
AZTA,3149,39.029998779296875,122905.46615600586,508320.0,19432426.54018402,0.006194916587976078,0.006324761650422376
AZZ,155,123.1500015258789,19088.25023651123,155255.0,18380983.831176758,0.0009983575408199414,0.001038478158287417
BA,1244,241.58999633789062,300537.95544433594,8886470.0,2128926368.5474396,0.00013998809426015054,0.00014116878811989733
BAC,11485,51.810001373291016,595037.8657722473,37820425.0,2035031265.5525017,0.0003036718915771042,0.00029239740727555715
BAH,-1145,91.0999984741211,-104309.49825286865,2585485.0,242838686.5857315,0.0004428569494698287,0.00042954234236497295
BALL,-6708,56.2599983215332,-377392.0687408447,1992570.0,109868433.84027481,0.0033665065719146628,0.003434945375570676
BANC,1258,20.059999465942383,25235.479328155518,2185340.0,44305653.26197624,0.0005756541316225392,0.0005695769607309452
BAND,5268,13.979999542236328,73646.63758850098,220250.0,3116416.749763489,0.02391827468785471,0.0236318321656082
BANF,-27,107.94000244140625,-2914.3800659179688,119940.0,13172844.45323944,0.00022511255627813908,0.00022124151516882674
BANR,-5769,60.880001068115234,-351216.7261619568,199855.0,12749734.122867584,0.028865927797653297,0.027546984335306553
BAP,1435,358.17999267578125,513988.2894897461,445630.0,144627235.72143555,0.003220160222606198,0.003553883104560828
BATRK,-2266,39.47999954223633,-89461.67896270752,377680.0,14998108.479824066,0.005999788180470239,0.00596486410823433
BAX,-7685,19.610000610351562,-150702.85469055176,8728340.0,174728079.2714405,0.0008804652431046453,0.0008624993493829604
BBBY,-744,6.519999980926514,-4850.879985809326,2034245.0,13360937.562413216,0.0003657376569685559,0.00036306434059356335
BBIO,298,77.48999786376953,23092.01936340332,2937435.0,225314385.29449463,0.00010144905334075477,0.00010248799397881833
BBSI,847,36.650001525878906,31042.551292419434,143225.0,5413057.240982056,0.005913772037004713,0.005734753931179118
BBT,11486,28.18000030517578,323675.483505249,643940.0,17716953.355207443,0.017837065565114763,0.01826925188636414
BBW,-26,61.38999938964844,-1596.1399841308594,339745.0,21999488.622932434,7.652798422346172e-05,7.255350392404263e-05
BBWI,11836,21.6299991607666,256012.6700668335,4978205.0,109121102.62968063,0.002377563800606845,0.0023461334599564317
BBY,-796,65.55999755859375,-52185.758056640625,4302685.0,293232484.89894867,0.00018500076115262912,0.00017796717875451093
BC,471,84.16999816894531,39644.06913757324,991100.0,84342731.65153503,0.00047522954293209563,0.0004700353944115079
BCC,2492,80.8499984741211,201478.19619750977,357655.0,29040309.588394165,0.006967608449483441,0.00693788045145461
BCO,1475,124.66999816894531,183888.24729919434,221870.0,27291279.66682434,0.006648037138865102,0.006737985522999548
BCPC,-1582,168.13999938964844,-265997.4790344238,150845.0,24467102.278518677,0.010487586595511949,0.010871638006269382
BCRX,4754,6.659999847412109,31661.639274597168,4912570.0,34770632.606306076,0.0009677215795398335,0.0009105856552306427
BCSF,-5949,13.170000076293945,-78348.33045387268,384820.0,5295263.57591629,0.015459175718517749,0.014795926459678699
BDC,-782,118.66999816894531,-92799.93856811523,238755.0,27920400.2494812,0.003275324076982681,0.003323732387032653
BDX,-1217,158.7421417236328,-193189.18647766113,2124640.75,339277517.1845306,0.0005728027197068493,0.0005694134644724688
BE,-569,165.38999938964844,-94106.90965270996,12162285.0,1604461233.8720703,4.678397192632799e-05,5.8653277290845066e-05
BEAM,-5426,29.020000457763672,-157462.52248382568,2088190.0,65386042.11606979,0.0025984225573343423,0.0024081977955525535
BELFB,-302,207.77999877929688,-62749.559631347656,156780.0,30311605.166015625,0.001926266105370583,0.002070149676589889
BEN,-3230,25.65999984741211,-82881.79950714111,4362645.0,110151455.4076767,0.0007403765376279757,0.0007524349015670373
BEPC,2029,40.630001068115234,82438.27216720581,891890.0,34966682.50995636,0.0022749442195786475,0.0023576234932705573
BF/B,9675,26.309999465942383,254549.24483299255,4919775.0,131256267.68702507,0.0019665533484763023,0.001939330207376872
BFAM,1212,91.91000366210938,111394.92443847656,561470.0,54941188.97544861,0.0021586193385220937,0.002027530283122472
BFH,900,68.19999694824219,61379.99725341797,947025.0,68868156.6771698,0.000950344499881207,0.0008912681885932602
BFS,3917,30.829999923706055,120761.10970115662,69080.0,2194186.287508011,0.05670237405906196,0.05503685370229337
BFST,486,26.959999084472656,13102.559555053711,116350.0,3130961.0266304016,0.004177051998281048,0.0041848363628961965
BG,-3709,115.30000305175781,-427647.7113189697,1724515.0,179124254.43294525,0.002150749631055688,0.0023874360994426843
